broker_exec_id,cl_ord_id,order_id,exec_id,symbol,side,executed_qty,avg_px,exec_ts,broker
BD-1,ORD-1001,B-1001,E-1001-F1,AAPL,BUY,400,190.22,2026-06-14 09:30:07,BROKER1
BD-2,ORD-1001,B-1001,E-1001-F2,AAPL,BUY,600,190.28,2026-06-14 09:30:09,BROKER1
BD-3,ORD-1002,B-1002,E-1002-F1,MSFT,SELL,500,420.05,2026-06-14 09:31:11,BROKER1
BD-4,ORD-1003,B-1003,E-1003-F1,TSLA,BUY,180,181.75,2026-06-14 09:35:15,BROKER1
BD-5,ORD-1006,B-1006,E-1006-F1,META,BUY,1000,500.0,2026-06-14 09:42:28,BROKER1
BD-6,ORD-1007,B-1007,E-1007-F1,JPM,BUY,600,205.31,2026-06-14 09:45:05,BROKER1
BD-7,ORD-1009,B-1009,E-DUP-900,ORCL,BUY,250,130.24,2026-06-14 10:05:04,BROKER1
BD-8,ORD-1010,B-1010,E-1010-F1,ADBE,SELL,120,475.09,2026-06-14 10:12:07,BROKER1
BD-9,ORD-1012,B-1012,E-1012-F1,GOOGL,BUY,100,175.01,2026-06-14 10:20:05,BROKER1
BD-10,ORD-1013,B-1013,E-1013-P1,AMD,SELL,300,160.01,2026-06-14 10:25:07,BROKER1
BD-11,ORD-1014,B-1014,E-1014-P1,INTC,BUY,700,33.01,2026-06-14 10:30:07,BROKER1
BD-12,ORD-9999,B-9999,E-9999-F1,SPY,BUY,50,550.1,2026-06-14 10:40:03,BROKER1
